Geneid,CM_in vitro_1,CM_in vitro_2,CM_in vitro_3,CM_0dpi_1,CM_0dpi_2,CM_0dpi_3,CM_1dpi_1,CM_1dpi_2,CM_1dpi_3,CM_3dpi_1,CM_3dpi_2,CM_3dpi_3,CM_6dpi_1,CM_6dpi_2,CM_6dpi_3
KAF2217364,1.728338,2.632575,5.562324,0,0,0,0,130.887654,0,7.741737,0,0,18.148876,2.434987,8.066777
KAF2217365,7.930918,7.738902,16.437541,0,0,0,0,100.101854,0,47.366559,18.565885,7.861191,29.74311,18.62259,20.564693
KAF2217366,3.692655,3.768715,13.283687,0,0,0,0,0,0,13.320216,0,0,0,5.236963,2.313245
KAF2217367,4.524836,3.990045,5.628771,0,0,0,37.783739,60.314759,0,7.134989,0,0,8.363242,6.732445,6.195462
KAF2217368,119.587509,119.971815,104.226101,139.405749,266.098104,88.018561,77.205304,123.244004,185.131291,102.054831,160.006406,116.14307,72.017961,65.344437,67.095252
KAF2217369,38.72882,38.768819,40.178046,69.786904,99.907086,66.093504,57.973784,92.544435,0,16.421442,17.164211,14.535386,32.997103,36.154933,18.061509
KAF2217370,17.392205,19.148139,22.244586,0,0,0,0,0,83.46989,39.439989,61.835886,26.182633,19.812593,32.562994,46.23288
KAF2217371,144.831043,130.101845,112.557705,45.902061,0,0,0,0,45.718566,0,45.158768,66.924149,20.497953,27.461122,25.010287
KAF2217372,18.064737,14.029243,14.241134,0,87.384134,0,0,0,0,4.787693,0,0,4.810175,4.51758,13.303218
KAF2217373,35.183147,36.520994,41.156908,261.199039,0,247.375348,216.984788,0,173.436591,153.655796,192.727078,299.217432,140.654884,167.540289,156.549161
KAF2217374,2.729865,3.006241,2.872724,0,0,0,0,0,0,0,0,0,0,2.965981,6.550591
KAF2217375,934.384063,905.710142,705.177965,1539.288356,1259.227779,1666.083537,1826.752276,583.214503,1606.141418,1483.325635,3623.653414,1145.023973,2524.252303,3037.975793,3558.482857
KAF2217376,38.384689,37.797436,27.785396,32.608499,124.486396,20.588485,18.059148,86.48428,43.304193,11.935859,5.346745,13.583554,8.851169,15.284764,10.660278
KAF2217377,19.836995,14.871626,20.378222,0,0,250.340463,0,0,0,0,0,0,27.773818,0,0
KAF2217378,13.904294,16.80581,21.800103,364.937665,0,0,0,0,0,0,0,0,14.379352,2.25078,0
KAF2217379,45.343028,43.791014,56.52067,216.429909,232.381152,76.865841,0,0,0,21.219903,13.307828,22.539273,19.18759,35.039744,15.477581
KAF2217380,1.254648,1.175042,2.065629,0,0,0,0,0,0,0,0,36.703508,0,0,0
KAF2217381,3.735313,2.215077,5.105081,0,0,0,0,0,0,6.041954,0,64.176194,14.164093,0.95018,16.788342
KAF2217382,1.031658,0.847508,1.875336,0,0,0,0,0,0,14.500691,0,0,4.85626,0,0
KAF2217383,29.155994,39.656799,95.763087,0,0,0,0,0,0,103.829154,25.04435,42.417247,20.060904,18.840632,47.159074
KAF2217384,5.618474,4.690988,11.522989,84.631926,0,0,0,0,0,13.2764,0,0,2.223124,7.307631,10.375361
KAF2217385,19.803086,20.546318,23.25933,0,0,0,0,0,178.88486,21.131024,0,0,42.460496,73.109103,44.036437
KAF2217386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAF2217387,17.842009,17.758939,15.463458,22.714631,32.518316,43.024965,37.739261,60.243758,30.165104,0,33.520219,9.462117,22.076834,8.40565,9.901071
KAF2217388,57.81705,55.712643,55.839847,0,0,0,0,0,171.693509,20.281535,31.798354,107.712808,129.052882,62.196175,91.576611
KAF2217389,512.300025,355.54592,48.380794,419.024518,119.975285,396.848074,0,0,0,13.146663,0,17.455089,14.309095,15.506188,13.698631
KAF2217390,6.593822,7.912934,16.031347,0,160.840229,0,0,0,0,17.624566,13.816315,0,11.804883,12.472663,15.303784
KAF2217391,3.929994,5.748015,8.78916,0,0,0,0,0,0,41.608511,0,0,3.483658,6.543505,0
KAF2217392,13.893327,14.421828,23.226686,0,89.182597,0,103.501219,41.305143,41.364417,19.544918,0,12.97509,25.364064,19.594865,16.122703
KAF2217393,11.533445,12.164181,15.622111,0,0,0,129.664317,0,0,18.36412,0,0,36.900704,14.440039,25.513527
KAF2217394,6.511131,5.465432,7.085954,0,0,0,0,0,0,0,0,0,15.778122,3.704591,8.181867
KAF2217395,314.483036,317.133249,117.308781,680.038028,1095.236936,402.529819,847.38773,0,225.773183,253.362838,188.163606,53.114989,104.947102,143.650824,180.631839
KAF2217396,24.905929,22.139818,11.876417,0,0,0,0,0,0,61.986741,215.968341,36.57824,89.956836,61.738971,110.040994
KAF2217397,155.037488,154.370962,69.093139,0,0,0,168.401851,0,134.604104,373.656996,373.938617,158.333584,94.518514,105.022604,74.555452
KAF2217398,34.426903,30.297255,26.797357,131.939002,188.884167,0,0,0,0,25.871959,16.225314,0,27.726341,27.66728,41.335912
KAF2217399,14.826529,15.44117,12.324256,0,0,126.908707,55.658858,0,0,42.041933,49.436503,27.909959,21.119674,13.223332,27.379425
KAF2217400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAF2217401,42.70408,41.625721,26.908079,0,0,168.876537,0,67.560492,33.828721,21.978357,37.591321,42.445245,28.103804,23.566334,16.655365
KAF2217402,5.135502,5.321121,8.396508,0,0,0,0,0,0,7.529898,0,0,0,1.184179,2.615348
