Geneid,CM_in vitro_1,CM_in vitro_2,CM_in vitro_3,CM_0dpi_1,CM_0dpi_2,CM_0dpi_3,CM_1dpi_1,CM_1dpi_2,CM_1dpi_3,CM_3dpi_1,CM_3dpi_2,CM_3dpi_3,CM_6dpi_1,CM_6dpi_2,CM_6dpi_3
KAF2217364,91,128,250,0,0,0,0,2,0,2,0,0,14,4,6
KAF2217365,546,492,966,0,0,0,0,2,0,16,2,1,30,40,20
KAF2217366,226,213,694,0,0,0,0,0,0,4,0,0,0,10,2
KAF2217367,517,421,549,0,0,0,2,2,0,4,0,0,14,24,10
KAF2217368,6687,6195,4975,3,4,2,2,2,6,28,14,12,59,114,53
KAF2217369,2884,2666,2554,2,2,2,2,2,0,6,2,2,36,84,19
KAF2217370,719,731,785,0,0,0,0,0,2,8,4,2,12,42,27
KAF2217371,16397,13602,10878,2,0,0,0,0,3,0,8,14,34,97,40
KAF2217372,1538,1103,1035,0,2,0,0,0,0,2,0,0,6,12,16
KAF2217373,700,671,699,2,0,2,2,0,2,15,6,11,41,104,44
KAF2217374,59,60,53,0,0,0,0,0,0,0,0,0,0,2,2
KAF2217375,11041,9883,7113,7,4,8,10,2,11,86,67,25,437,1120,594
KAF2217376,9176,8344,5670,3,8,2,2,6,6,14,2,6,31,114,36
KAF2217377,195,135,171,0,0,1,0,0,0,0,0,0,4,0,0
KAF2217378,198,221,265,2,0,0,0,0,0,0,0,0,3,1,0
KAF2217379,4355,3884,4634,8,6,3,0,0,0,10,2,4,27,105,21
KAF2217380,37,32,52,0,0,0,0,0,0,0,0,2,0,0,0
KAF2217381,126,69,147,0,0,0,0,0,0,1,0,4,7,1,8
KAF2217382,29,22,45,0,0,0,0,0,0,2,0,0,2,0,0
KAF2217383,1488,1869,4172,0,0,0,0,0,0,26,2,4,15,30,34
KAF2217384,345,266,604,2,0,0,0,0,0,4,0,0,2,14,9
KAF2217385,382,366,383,0,0,0,0,0,2,2,0,0,12,44,12
KAF2217386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAF2217387,2041,1876,1510,1,1,2,2,2,2,0,6,2,37,30,16
KAF2217388,1162,1034,958,0,0,0,0,0,2,2,1,4,38,39,26
KAF2217389,31768,20360,2561,10,2,10,0,0,0,4,0,2,13,30,12
KAF2217390,305,338,633,0,2,0,0,0,0,4,1,0,8,18,10
KAF2217391,77,104,147,0,0,0,0,0,0,4,0,0,1,4,0
KAF2217392,1159,1111,1654,0,2,0,4,1,2,8,0,2,31,51,19
KAF2217393,384,374,444,0,0,0,2,0,0,3,0,0,18,15,12
KAF2217394,169,131,157,0,0,0,0,0,0,0,0,0,6,3,3
KAF2217395,9613,8952,3061,8,9,5,12,0,4,38,9,3,47,137,78
KAF2217396,737,605,300,0,0,0,0,0,0,9,10,2,39,57,46
KAF2217397,7949,7309,3024,0,0,0,4,0,4,94,30,15,71,168,54
KAF2217398,1356,1102,901,2,2,0,0,0,0,5,1,0,16,34,23
KAF2217399,575,553,408,0,0,2,1,0,0,8,3,2,12,16,15
KAF2217400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAF2217401,4356,3921,2343,0,0,7,0,2,2,11,6,8,42,75,24
KAF2217402,278,266,388,0,0,0,0,0,0,2,0,0,0,2,2
KAF2217403,1768,1601,1518,2,0,0,0,4,2,4,8,16,38,70,20
KAF2217404,814,686,523,0,0,0,2,0,0,5,1,2,7,41,9
KAF2217405,768,751,1564,0,0,0,4,2,0,8,1,0,12,31,24
KAF2217406,2606,2440,3358,0,4,0,6,2,6,47,8,8,73,134,70
KAF2217407,1522,1239,734,0,0,0,0,0,0,11,6,3,32,59,44
EFT00053797945,79,74,64,0,0,0,0,0,0,0,0,0,4,4,4
KAF2217408,11180,9281,7595,15,5,14,0,0,2,32,7,24,113,186,64
KAF2217409,369,319,636,0,0,0,0,0,2,5,4,2,8,24,17
KAF2217410,5530,4593,3689,0,2,2,0,2,0,12,6,8,50,93,41
KAF2217411,16,16,31,0,0,0,0,0,0,0,0,0,0,1,4
KAF2217412,56,35,102,0,0,2,0,0,0,0,0,2,0,4,0
KAF2217413,664,598,643,0,0,0,0,0,0,1,4,2,24,35,8
KAF2217414,1462,1458,1609,0,0,0,0,4,2,11,0,6,60,125,45
KAF2217415,1185,910,1086,0,0,0,0,0,1,6,2,5,24,21,10
KAF2217416,218,187,424,0,0,0,0,2,0,0,0,0,6,24,5
KAF2217417,441,409,1190,0,0,0,0,0,4,4,0,0,16,47,17
KAF2217418,105,113,228,0,0,0,0,0,0,3,0,0,1,2,0
KAF2217419,2285,1267,194,10,9,11,0,0,0,8,0,0,10,20,14
KAF2217420,17,13,22,0,0,0,0,0,0,0,0,0,0,3,2
KAF2217421,487,425,548,0,5,0,0,0,2,6,4,0,24,40,13
KAF2217422,376,351,415,0,0,0,0,0,0,2,0,6,15,25,10
KAF2217423,4923,6007,7442,0,0,2,0,2,0,8,10,8,60,197,88
KAF2217424,2841,3035,2871,0,0,0,0,0,0,4,0,0,41,70,45
KAF2217425,391,423,188,0,0,0,0,0,0,8,0,0,5,13,2
KAF2217426,60,51,58,0,0,0,2,0,0,0,0,0,2,7,4
KAF2217427,1499,1332,1270,0,0,0,0,0,2,3,0,1,7,15,13
KAF2217428,22,44,57,0,0,0,0,0,0,2,0,0,0,2,4
KAF2217429,392,353,703,0,0,0,6,0,2,2,4,0,7,53,22
KAF2217430,204,286,571,0,0,0,0,0,0,8,0,0,6,20,15
KAF2217431,434,458,193,0,0,0,0,0,0,0,0,0,0,2,0
KAF2217432,2918,2842,2696,2,2,4,5,0,0,7,10,6,10,79,20
KAF2217433,261,201,277,0,0,0,0,0,0,2,0,4,2,18,0
KAF2217434,1205,1360,2774,0,2,0,0,0,4,4,0,0,10,10,3
KAF2217435,1173,1067,1656,0,0,0,0,0,0,8,0,0,15,33,13
KAF2217436,204,165,228,0,0,0,0,0,0,6,0,0,6,15,11
KAF2217437,2729,2501,3117,2,0,0,0,2,0,19,8,8,76,243,92
KAF2217438,4829,5915,10952,0,0,2,3,4,5,42,27,9,150,340,200
KAF2217439,49,14,73,0,0,0,0,0,0,2,0,0,0,0,0
KAF2217440,1268,1087,1428,0,0,0,0,0,0,0,0,0,2,0,2
KAF2217441,25869,22096,9074,6,9,8,4,2,8,18,8,12,63,137,38
KAF2217442,983,981,575,0,0,2,0,0,0,5,0,0,12,26,13
KAF2217443,353,369,191,0,0,0,0,0,1,3,0,0,3,6,13
KAF2217444,2186,1971,2495,1,0,1,4,0,8,32,19,15,100,151,84
KAF2217445,4020,3850,3519,0,0,0,0,0,0,10,2,1,18,28,22
KAF2217446,1223,1075,561,2,0,0,0,0,0,5,0,4,5,13,8
KAF2217447,2087,1779,1426,0,0,0,6,3,2,10,0,2,24,36,20
KAF2217448,700,640,753,0,0,2,2,0,0,6,4,0,18,44,23
KAF2217449,415,475,1023,0,0,0,1,0,0,10,2,2,22,68,32
KAF2217450,955,942,1152,0,0,0,2,4,4,14,2,2,30,91,35
KAF2217451,640,442,332,0,0,0,0,0,0,7,3,4,17,33,19
KAF2217452,1347,1392,1350,2,0,2,0,0,2,13,5,4,34,33,24
KAF2217453,4179,4076,3560,2,0,0,0,3,0,8,2,6,39,82,32
KAF2217454,1577,1512,1443,0,0,1,0,0,2,3,0,4,12,22,14
KAF2217455,638,667,696,0,0,2,1,0,0,4,0,2,19,27,18
KAF2217456,790,724,862,0,0,0,0,2,0,2,0,0,6,30,6
KAF2217457,10592,8896,3648,2,1,0,2,0,0,41,11,18,101,168,84
KAF2217458,262,293,400,0,0,0,0,0,1,3,0,1,6,21,11
KAF2217459,171,195,218,0,0,0,2,0,0,1,0,0,12,26,6
KAF2217460,2609,2736,3307,0,0,0,0,0,2,10,3,4,30,35,9
KAF2217461,2471,1598,1269,30,20,26,0,2,0,8,0,0,56,85,65
KAF2217462,50,33,47,0,0,0,0,0,0,1,0,0,6,4,3
KAF2217463,205,245,315,0,2,0,0,0,2,0,2,2,10,14,14
KAF2217464,2520,2337,1949,2,0,0,4,0,12,22,0,5,50,132,40
KAF2217465,2674,2514,2986,2,2,2,0,4,0,22,4,0,51,102,53
KAF2217466,106,124,191,0,0,0,0,0,0,1,0,0,1,11,0
KAF2217467,105,80,148,0,0,0,0,0,0,0,0,0,0,0,2
KAF2217468,335,473,2643,0,0,0,4,4,0,8,0,4,10,26,9
KAF2217469,3963,4873,27725,0,0,0,6,2,13,55,2,2,64,122,58
