Geneid,CZ_in vitro_1,CZ_in vitro_2,CZ_in vitro_3,CZ_0dpi_1,CZ_0dpi_2,CZ_0dpi_3,CZ_1dpi_1,CZ_1dpi_2,CZ_1dpi_3,CZ_3dpi_1,CZ_3dpi_2,CZ_3dpi_3,CZ_6dpi_1,CZ_6dpi_2,CZ_6dpi_3
KAM3422500.1,206.726298,292.021339,363.886528,500.090416,571.221239,334.13978,441.472233,523.816151,181.337892,1000.253462,1154.351049,826.446274,432.885735,442.906768,312.461347
KAM3422501.1,559.774253,483.23885,577.902758,412.335087,883.094903,258.286209,1421.887339,237.016896,467.240354,1043.333205,1019.771534,611.058102,756.522446,999.326454,895.07817
KAM3422502.1,2.437631,2.64568,1.73919,0,0,76.301868,0,11.669762,0,22.01552,10.041893,0,11.460964,0,8.394298
KAM3422503.1,40.643108,52.585752,42.933316,169.212984,296.510853,77.087136,152.773624,82.529039,69.725404,100.089427,81.16192,49.738395,162.104823,212.644937,152.652391
KAM3422504.1,20.035126,17.851951,19.125147,48.151883,0,0,59.776525,36.904644,43.650911,17.405559,39.695805,38.922798,29.448525,2.161109,11.61399
KAM3422505.1,10.16662,16.494544,12.603652,39.507877,0,49.495375,21.798097,30.279692,35.814899,14.280993,39.083755,0,14.86896,28.370501,32.671198
KAM3422506.1,203.790552,239.545322,212.705701,348.283034,621.595927,218.164079,480.404654,700.695581,434.125261,1080.595105,1091.056535,914.96917,262.15565,270.942879,292.014253
KAM3422507.1,3.18187,4.771234,3.474985,33.652113,0,0,0,0,15.25325,18.246446,27.742378,9.067381,6.332559,15.103433,4.638125
KAM3422508.1,9.766219,12.868888,14.402326,0,0,0,50.150351,46.4425,82.398468,54.759887,29.973015,57.145943,0,0,8.351759
KAM3422509.1,205.837461,143.542823,214.823339,57.859923,123.918156,0,957.709924,509.968611,445.837731,355.550648,457.910315,218.260636,685.938714,799.819345,749.610781
KAM3422510.1,58.983157,71.115425,98.627975,13.247102,0,0,29.235852,30.458597,66.048599,57.461483,61.156166,42.832326,22.435219,33.294481,12.780535
KAM3422512.1,3.49614,3.510072,4.032795,22.995611,0,0,25.37522,8.812167,10.423054,8.31227,15.165833,0,30.290741,20.641358,6.338771
KAM3422513.1,35.665409,45.861518,41.074859,164.60782,145.878335,142.220887,181.641608,34.802481,164.657866,98.484617,175.942861,122.352255,64.087101,32.608121,35.986567
KAM3422514.1,38.359061,42.829303,45.023673,51.640815,36.866246,129.39098,56.98466,85.753714,62.418289,87.111314,45.410172,111.31472,90.697804,67.985741,113.878879
KAM3422515.1,1.414041,1.459951,1.714346,0,0,0,0,0,9.621281,7.672865,6.999615,11.43885,0,3.810712,0
KAM3422516.1,4.369362,1.796292,3.435137,0,0,90.975304,40.066137,41.741842,32.914908,0,23.946052,0,0,13.036647,0
KAM3422517.1,1.644422,1.259927,1.633785,0,0,0,47.350889,76.737528,12.966479,72.384361,66.033053,50.10198,5.38318,15.406947,7.885552
KAM3422518.1,6.306131,7.181283,10.727019,0,0,0,30.264024,21.019847,74.586992,29.74115,0,44.338661,30.965633,78.778028,124.740033
KAM3422519.1,6.527615,6.23362,8.439965,0,0,0,45.605234,0,0,29.878206,0,0,0,14.838949,0
KAM3422520.1,60.624226,47.182023,71.721584,102.494722,768.292566,256.810288,282.752454,137.4698,487.798929,166.720388,202.788854,262.358193,260.376736,174.802818,211.896057
KAM3422521.1,16.254672,25.632899,16.25258,22.647192,97.006637,113.489395,124.953736,34.714596,143.711806,98.235919,59.744191,73.225971,59.663581,32.525777,43.699103
KAM3422522.1,23.709639,25.829367,30.497311,118.003791,50.545564,118.267896,117.193451,180.881315,128.368139,136.496224,85.607137,133.541047,235.379554,245.740803,312.267873
KAM3422523.1,11.697437,8.721858,22.033061,89.236698,0,0,0,34.196468,0,32.25657,29.426243,48.088697,67.169234,16.020159,36.897323
KAM3422524.1,6.632854,4.95584,5.06345,5.027067,10.766432,37.787388,16.64182,7.705706,4.557165,7.268577,3.315401,10.83613,3.783917,9.024809,4.157154
KAM3422525.1,8.217205,5.775927,10.474263,0,0,0,30.356859,42.16865,74.815787,119.329521,72.572698,59.299559,10.35354,59.264759,7.583192
KAM3422526.1,5.439679,3.665369,7.259801,0,0,0,39.90458,0,16.391093,78.43029,0,19.487557,0,12.98408,0
KAM3422527.1,7.509138,10.041632,7.410905,0,0,0,0,0,54.932312,0,26.64268,0,30.407694,14.504738,27.839197
KAM3422528.1,2.441555,3.363459,4.474509,45.447406,32.444787,0,0,11.610625,0,0,39.96402,0,0,10.878554,16.703518
KAM3422529.1,351.134631,289.318817,399.135615,169.503728,132.009032,231.658765,459.108366,259.822645,335.256996,245.083426,182.92809,357.070971,313.167896,132.785646,361.04855
KAM3422530.1,30.550019,39.695247,40.662267,26.811026,57.420969,67.177579,44.378188,30.822825,42.533539,58.148616,35.364274,14.448174,10.090445,19.252926,22.171486
KAM3422531.1,32.245971,19.521254,38.75166,0,0,146.868629,32.340967,0,53.137138,42.376279,38.658006,31.587674,0,10.523045,48.472954
KAM3422532.1,99.731375,61.369293,116.87318,0,0,0,103.355988,134.598368,148.589752,67.713531,154.430154,189.278619,8.812674,16.814892,32.273116
KAM3422533.1,2.772559,1.862103,3.969628,0,0,0,13.958161,0,0,0,0,0,0,0,0
KAM3422534.1,4.906405,3.714742,5.403064,13.712979,0,17.179587,15.132012,2.627481,12.431165,0,22.609614,11.084665,20.643755,17.232694,25.515007
KAM3422535.1,5.2606,7.441601,7.522842,0,50.412898,58.978741,12.987317,18.040656,42.677072,0,15.524081,12.684814,35.435737,33.806319,12.977011
KAM3422536.1,0.747621,1.026183,1.784018,38.656414,0,0,42.65662,0,0,55.89285,0,41.663052,0,0,0
KAM3422537.1,29.909153,23.610687,119.867446,0,0,0,0,0,105.584184,0,0,0,613.682543,104.54714,545.792873
KAM3422538.1,9.29999,4.09004,10.126156,0,0,0,33.395959,0,27.43526,21.879316,19.959533,16.309046,0,10.866317,33.369458
KAM3422541.1,63.824445,55.13759,51.296015,52.402351,48.098449,56.271036,70.216073,65.980914,84.828695,192.125841,128.365232,161.366079,38.034999,40.317845,30.953097
KAM3422542.1,16.170376,15.837732,18.205737,31.445611,26.93873,0,17.349817,9.640238,5.70125,22.733417,24.88643,25.418552,7.100815,11.290505,13.002037
KAM3422543.1,8.939425,9.987131,6.557447,0,0,0,0,49.687879,0,15.623062,14.252229,23.291152,0,7.759161,11.913835
KAM3422544.1,21.614552,26.083703,11.043069,0,0,38.742931,0,17.776267,0,22.35714,10.197715,33.330442,11.638807,5.551814,29.835939
KAM3422545.1,4.08736,2.354582,88.00892,0,0,0,0,0,0,0,12.999285,10.621789,0,7.077037,0
KAM3422546.1,25.07504,30.641044,19.136755,23.015282,49.291653,0,16.931285,29.399016,55.637175,19.411888,27.827812,45.476523,10.105551,9.640874,16.917849
KAM3422548.1,55.409896,60.210308,44.912482,69.646204,45.895613,67.117384,0,106.756714,43.709581,120.066123,84.798206,75.063182,20.162808,17.312107,38.396139
KAM3422549.1,1.593049,1.352696,2.878886,54.243678,0,0,0,27.715685,0,0,0,0,0,0,9.968228
KAM3422550.1,5.413634,4.50403,8.471143,0,79.15102,0,40.781604,28.324821,22.335116,26.718011,24.37366,33.193091,9.272676,4.423148,10.18731
KAM3422553.1,4.829574,4.072166,4.573027,28.721499,15.378154,17.991113,0,16.509584,3.254597,0,9.471057,15.477707,2.702365,12.89052,3.95856
KAM3422554.1,2.589068,1.727078,2.675666,18.117754,0,0,9.996299,13.885838,0,0,0,29.290388,6.818695,0,4.994183
KAM3422555.1,46.387812,42.136142,50.586809,21.662532,185.577914,0,119.520965,99.615797,127.644647,172.268785,164.296525,163.431877,97.833449,93.334838,128.383078
KAM3422556.1,1.890936,1.978136,3.421285,0,0,0,26.603053,0,21.854791,0,0,6.495852,0,0,0
