Geneid,CZ_in vitro_1,CZ_in vitro_2,CZ_in vitro_3,CZ_0dpi_1,CZ_0dpi_2,CZ_0dpi_3,CZ_1dpi_1,CZ_1dpi_2,CZ_1dpi_3,CZ_3dpi_1,CZ_3dpi_2,CZ_3dpi_3,CZ_6dpi_1,CZ_6dpi_2,CZ_6dpi_3
KAM3422499.1,1694,1302,1850,8,2,6,5,12,10,8,15,30,10,8,12
KAM3422500.1,5771,7259,9460,30,32,24,24,41,12,83,105,92,69,74,68
KAM3422501.1,5054,3885,4859,8,16,6,25,6,10,28,30,22,39,54,63
KAM3422502.1,149,144,99,0,0,12,0,2,0,4,2,0,4,0,4
KAM3422503.1,2459,2833,2419,22,36,12,18,14,10,18,16,12,56,77,72
KAM3422504.1,1549,1229,1377,8,0,0,9,8,8,4,10,12,13,1,7
KAM3422505.1,479,692,553,4,0,6,2,4,4,2,6,0,4,8,12
KAM3422506.1,6535,6840,6352,24,40,18,30,63,33,103,114,117,48,52,73
KAM3422507.1,176,235,179,4,0,0,0,0,2,3,5,2,2,5,2
KAM3422508.1,300,352,412,0,0,0,3,4,6,5,3,7,0,0,2
KAM3422509.1,3311,2056,3218,2,4,0,30,23,17,17,24,14,63,77,94
KAM3422510.1,4144,4449,6453,2,0,0,4,6,11,12,14,12,9,14,7
KAM3422512.1,283,253,304,4,0,0,4,2,2,2,4,0,14,10,4
KAM3422513.1,2924,3348,3136,29,24,30,29,8,32,24,47,40,30,16,23
KAM3422514.1,2074,2062,2267,6,4,18,6,13,8,14,8,24,28,22,48
KAM3422515.1,124,114,140,0,0,0,0,0,2,2,2,4,0,2,0
KAM3422516.1,112,41,82,0,0,6,2,3,2,0,2,0,0,2,0
KAM3422517.1,107,73,99,0,0,0,6,14,2,14,14,13,2,6,4
KAM3422518.1,214,217,339,0,0,0,2,2,6,3,0,6,6,16,33
KAM3422519.1,147,125,177,0,0,0,2,0,0,2,0,0,0,2,0
KAM3422520.1,1101,763,1213,4,28,12,10,7,21,9,12,19,27,19,30
KAM3422521.1,334,469,311,1,4,6,5,2,7,6,4,6,7,4,7
KAM3422522.1,935,907,1120,10,4,12,9,20,12,16,11,21,53,58,96
KAM3422523.1,244,162,428,4,0,0,0,2,0,2,2,4,8,2,6
KAM3422524.1,1228,817,873,2,4,18,6,4,2,4,2,8,4,10,6
KAM3422525.1,139,87,165,0,0,0,1,2,3,6,4,4,1,6,1
KAM3422526.1,140,84,174,0,0,0,2,0,1,6,0,2,0,2,0
KAM3422527.1,173,206,159,0,0,0,0,0,3,0,2,0,4,2,5
KAM3422528.1,75,92,128,3,2,0,0,1,0,0,4,0,0,2,4
KAM3422529.1,10604,7780,11225,11,8,18,27,22,24,22,18,43,54,24,85
KAM3422530.1,2121,2454,2629,4,8,12,6,6,7,12,8,4,4,8,12
KAM3422531.1,512,276,573,0,0,6,1,0,2,2,2,2,0,1,6
KAM3422532.1,3964,2172,4326,0,0,0,8,15,14,8,20,30,2,4,10
KAM3422533.1,204,122,272,0,0,0,2,0,0,0,0,0,0,0,0
KAM3422534.1,666,449,683,4,0,6,4,1,4,0,10,6,16,14,27
KAM3422535.1,208,262,277,0,4,6,1,2,4,0,2,2,8,8,4
KAM3422536.1,9,11,20,1,0,0,1,0,0,2,0,2,0,0,0
KAM3422537.1,239,168,892,0,0,0,0,0,2,0,0,0,28,5,34
KAM3422538.1,286,112,290,0,0,0,2,0,2,2,2,2,0,2,8
KAM3422541.1,7935,6104,5939,14,12,18,17,23,25,71,52,80,27,30,30
KAM3422542.1,2393,2087,2509,10,8,0,5,4,2,10,12,15,6,10,15
KAM3422543.1,385,383,263,0,0,0,0,6,0,2,2,4,0,2,4
KAM3422544.1,1301,1398,619,0,0,6,0,3,0,4,2,8,4,2,14
KAM3422545.1,193,99,3870,0,0,0,0,0,0,0,2,2,0,2,0
KAM3422546.1,3042,3310,2162,6,12,0,4,10,16,7,11,22,7,7,16
KAM3422548.1,4813,4657,3633,13,8,15,0,26,9,31,24,26,10,9,26
KAM3422549.1,41,31,69,3,0,0,0,2,0,0,0,0,0,0,2
KAM3422550.1,409,303,596,0,12,0,6,6,4,6,6,10,4,2,6
KAM3422553.1,626,470,552,8,4,6,0,6,1,0,4,8,2,10,4
KAM3422554.1,133,79,128,2,0,0,1,2,0,0,0,6,2,0,2
KAM3422555.1,1993,1612,2024,2,16,0,10,12,13,22,23,28,24,24,43
KAM3422556.1,73,68,123,0,0,0,2,0,2,0,0,1,0,0,0
KAM3422557.1,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0
KAM3422559.1,12,6,4,0,0,0,0,0,0,0,0,0,0,0,0
KAM3422560.1,1135,901,1104,0,0,12,4,4,0,0,3,11,0,10,8
KAM3422561.1,443,188,440,0,0,0,2,2,6,14,18,6,9,2,6
KAM3422562.1,212,260,290,0,0,0,3,5,2,3,0,9,2,2,4
KAM3422563.1,137,135,217,0,0,0,1,3,3,1,2,2,4,4,2
KAM3422564.1,2045,1637,1734,6,8,0,2,0,9,2,14,16,11,8,11
KAM3422566.1,7816,6203,9164,23,36,30,57,52,86,74,43,65,216,216,302
KAM3422567.1,4181,2999,4027,10,28,12,7,18,16,28,29,20,61,64,69
KAM3422568.1,496,398,465,0,0,6,4,0,0,6,0,3,5,3,0
KAM3422569.1,824,673,340,2,0,0,0,0,0,0,0,0,0,0,6
KAM3422570.1,638,665,611,5,0,6,2,4,6,0,2,2,0,6,10
KAM3422571.1,751,825,1018,10,14,6,0,3,2,1,7,5,20,13,30
KAM3422572.1,939,478,538,0,0,0,6,2,4,4,6,14,0,8,6
KAM3422573.1,45,62,68,0,0,0,1,0,0,0,0,0,0,1,2
KAM3422574.1,562,511,649,7,10,0,18,10,9,12,12,9,11,6,17
KAM3422575.1,425,427,535,12,8,6,2,2,2,4,4,2,2,6,7
KAM3422578.1,950,1081,1040,10,0,0,12,15,10,13,8,10,4,6,4
KAM3422579.1,1656,1827,1335,4,0,0,0,2,4,6,5,6,16,14,16
KAM3422580.1,9,10,33,0,0,0,0,0,0,0,0,1,0,0,0
KAM3422581.1,538,480,541,2,4,6,4,4,2,1,2,11,3,8,15
KAM3422582.1,46,31,55,0,0,0,4,6,2,0,2,4,4,6,7
KAM3422583.1,120,50,128,0,0,0,4,3,0,0,0,2,0,0,0
KAM3422584.1,1739,713,1447,0,8,0,2,14,8,8,11,0,8,14,28
KAM3422585.1,1050,607,1227,1,0,3,4,12,0,8,2,2,20,26,34
KAM3422586.1,895,879,1114,3,0,6,7,2,6,6,23,28,14,12,13
KAM3422589.1,267,136,359,0,0,0,0,0,0,2,2,0,2,4,4
KAM3422590.1,1446,1539,1798,6,8,0,0,4,11,6,7,10,5,4,8
KAM3422591.1,4524,4734,4067,15,12,36,12,14,23,18,12,20,24,46,46
KAM3422592.1,22,11,26,0,0,0,0,0,0,0,0,0,0,0,0
KAM3422593.1,164,64,174,2,0,0,0,2,4,10,4,8,5,0,0
KAM3422594.1,320,240,391,8,4,0,0,0,2,6,7,1,2,2,2
KAM3422596.1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
KAM3422597.1,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0
KAM3422598.1,70,33,101,0,0,0,0,0,0,0,0,2,2,0,0
KAM3422599.1,3945,2912,3647,20,20,36,44,38,26,36,28,42,77,91,111
KAM3422600.1,119,163,145,0,0,0,0,0,0,0,2,0,1,5,0
KAM3422601.1,1509,1728,1205,12,14,6,2,4,0,1,3,10,6,6,4
KAM3422602.1,1125,1088,1385,1,8,6,1,9,3,4,9,10,10,8,23
KAM3422603.1,1461,1112,1728,0,0,0,0,0,0,6,9,2,0,2,0
KAM3422604.1,1695,830,1460,0,0,0,0,0,7,8,0,2,2,0,6
KAM3422605.1,227,208,393,0,4,6,0,0,0,2,2,0,0,2,2
KAM3422606.1,107,142,124,0,0,0,2,0,0,0,2,0,0,0,0
KAM3422607.1,286,353,366,2,0,0,0,2,2,0,0,2,4,0,0
KAM3422608.1,557,610,486,0,0,0,2,0,4,0,0,0,0,2,0
KAM3422609.1,3474,3100,3014,8,0,6,3,0,2,0,0,2,8,6,13
KAM3422610.1,8786,8022,9439,6,16,0,14,14,10,16,24,5,97,98,112
KAM3422611.1,586,495,676,0,0,0,7,4,6,8,13,7,12,12,14
KAM3422612.1,507,444,565,4,0,0,2,4,8,8,0,2,2,0,2
KAM3422613.1,1441,1524,1332,11,20,39,7,6,10,8,5,14,30,18,28
KAM3422614.1,326,298,413,6,12,15,2,6,3,2,0,0,12,12,6
KAM3422615.1,5478,4634,2566,16,20,27,5,10,10,14,10,6,20,14,31
KAM3422616.1,627,433,1005,0,0,0,6,0,9,2,4,0,4,0,6
KAM3422617.1,1035,579,1150,2,12,0,3,6,6,8,4,2,0,2,2
KAM3422618.1,2511,2073,2244,6,0,6,4,5,13,10,10,17,14,4,18
KAM3422619.1,3580,1882,2514,7,2,0,12,15,16,31,26,30,8,9,46
KAM3422620.1,664,517,764,0,4,0,0,2,0,0,2,6,1,0,0
KAM3422621.1,281,197,292,0,2,0,0,0,0,0,0,3,0,0,4
KAM3422622.1,4043,3926,4653,4,8,6,6,14,4,9,8,11,11,25,40
KAM3422623.1,163,100,208,0,0,0,0,0,0,1,0,2,0,0,0
KAM3422624.1,50,21,39,0,0,0,0,0,0,2,4,0,0,0,2
KAM3422625.1,100,130,67,0,0,0,0,1,2,0,0,0,0,2,0
KAM3422626.1,494,457,389,0,0,0,4,5,0,1,4,10,0,2,8
KAM3422627.1,31,23,68,0,0,0,2,2,0,0,0,0,0,0,0
KAM3422628.1,5,4,25,0,0,0,0,0,0,0,0,0,0,0,0
KAM3422629.1,282,249,316,0,0,0,2,4,1,4,0,4,2,5,2
KAM3422630.1,5411,4078,4957,18,4,12,15,17,10,17,27,34,38,38,63
KAM3422631.1,20,21,48,0,0,0,0,0,0,0,0,0,2,0,0
KAM3422632.1,455,463,718,4,12,12,0,4,0,0,4,10,0,0,0
KAM3422633.1,2936,1472,4337,20,56,30,4,6,6,32,54,55,23,8,15
KAM3422634.1,627,653,887,6,0,6,8,31,14,107,126,139,24,41,95
KAM3422635.1,903,1267,1327,0,0,6,0,10,2,2,4,2,8,18,22
KAM3422637.1,208653,210046,162810,27,4,15,18,30,26,26,39,38,188,163,297
KAM3422638.1,3973,3387,2833,7,8,9,6,5,0,2,8,10,14,12,14
KAM3422639.1,468,538,379,0,4,0,0,0,0,0,0,0,0,0,6
KAM3422640.1,1550,1599,1627,4,4,0,4,0,0,0,6,8,2,7,12
KAM3422641.1,93649,100440,71699,115,80,102,20,30,14,49,56,67,130,109,287
KAM3422642.1,2717,2146,2093,20,16,3,4,18,17,18,12,18,44,54,61
KAM3422643.1,14,16,32,0,0,0,0,0,0,0,0,4,0,0,0
KAM3422644.1,185,186,193,0,0,0,0,0,0,2,2,6,3,1,2
KAM3422645.1,4303,2492,2881,4,0,6,2,48,12,33,40,80,70,40,92
KAM3422646.1,12107,12088,9409,14,8,30,0,10,4,0,10,6,8,8,24
KAM3422647.1,1656,1748,1445,10,12,0,0,2,0,2,2,3,4,2,7
KAM3422648.1,11,27,26,0,0,0,0,0,0,0,1,1,0,0,0
KAM3422649.1,13788,9662,8456,2,12,6,0,6,2,3,4,24,13,10,17
KAM3422650.1,11,21,23,0,0,0,0,0,0,0,0,0,0,0,0
KAM3422651.1,2218,1851,2109,8,0,6,14,13,6,20,20,14,11,11,10
KAM3422652.1,521,514,459,6,4,6,10,2,0,4,2,2,10,11,12
KAM3422653.1,236,249,279,0,0,0,0,2,2,2,2,1,8,0,0
KAM3422654.1,1193,1282,1444,4,8,0,2,4,4,0,6,8,4,4,4
KAM3422655.1,809,469,1178,0,0,12,8,8,12,13,24,48,10,12,10
KAM3422656.1,1163,1207,1256,10,2,6,0,1,5,5,2,6,9,16,23
KAM3422657.1,1721,1738,1539,9,8,6,6,0,8,7,13,6,9,11,15
KAM3422658.1,761,666,1031,0,4,0,2,2,0,2,0,5,12,2,2
KAM3422659.1,75130,71349,61041,31,16,24,10,33,33,48,59,52,130,153,237
KAM3422660.1,112,75,117,0,0,0,2,0,0,0,0,0,1,0,3
KAM3422661.1,527,456,531,2,4,0,2,10,8,6,20,9,8,8,9
KAM3422662.1,4424,2296,2379,0,0,6,10,11,12,19,14,18,6,5,19
KAM3422663.1,829,626,804,4,4,9,10,8,8,13,11,6,12,13,12
KAM3422664.1,23,25,50,0,0,0,0,0,0,0,2,0,0,0,0
KAM3422665.1,1014,802,1015,2,0,6,4,6,0,2,2,2,16,6,6
KAM3422666.1,9066,7333,7107,10,12,15,11,5,5,1,7,7,11,8,23
KAM3422667.1,180,124,103,2,0,6,4,10,0,2,0,16,11,2,6
KAM3422669.1,15555,4840,10574,10,0,3,14,4,6,19,4,12,30,72,53
KAM3422670.1,112,79,137,0,0,0,0,0,0,0,0,0,4,6,0
KAM3422671.1,24,10,44,0,4,0,0,0,0,0,0,0,2,2,0
KAM3422672.1,1300,1514,1216,7,16,0,2,8,2,3,4,8,24,11,24
