orthogroup	cm_protein	cz_protein
OG0000684	KAF2207560	KAM3420073.1
OG0000840	KAF2216033	KAM3424989.1
OG0000890	KAF2209523	KAM3421239.1
OG0000891	KAF2214631	KAM3418859.1
OG0000917	KAF2209290	KAM3415289.1
OG0000925	KAF2212312	KAM3415860.1
OG0000965	KAF2216492	KAM3422914.1
OG0000967	KAF2216232	KAM3422732.1
OG0000973	KAF2216609	KAM3423155.1
OG0001008	KAF2211647	KAM3425653.1
OG0001049	KAF2209680	KAM3418346.1
OG0001059	KAF2207446	KAM3419179.1
OG0001065	KAF2209382	KAM3415381.1
OG0001075	KAF2212395	KAM3415768.1
OG0001099	KAF2208076	KAM3413554.1
OG0001140	KAF2215927	KAM3425089.1
OG0001157	KAF2213647	KAM3413940.1
OG0001184	KAF2213595	KAM3413885.1
OG0001205	KAF2214954	KAM3418521.1
OG0001227	KAF2207852	KAM3419409.1
OG0001256	KAF2215827	KAM3425197.1
OG0001262	KAF2214415	KAM3422220.1
OG0001294	KAF2210638	KAM3421646.1
OG0001317	KAF2216302	KAM3422810.1
OG0001339	KAF2207538	KAM3423999.1
OG0001364	KAF2210153	KAM3420700.1
OG0001370	KAF2212932	KAM3414587.1
OG0001374	KAF2206440	KAM3415201.1
OG0001375	KAF2217349	KAM3424190.1
OG0001388	KAF2216906	KAM3424647.1
OG0001394	KAF2215622	KAM3425552.1
OG0001407	KAF2213815	KAM3416556.1
OG0001414	KAF2215175	KAM3416694.1
OG0001436	KAF2213676	KAM3414078.1
OG0001441	KAF2213637	KAM3413929.1
OG0001460	KAF2209910	KAM3414527.1
OG0001464	KAF2209948	KAM3414656.1
OG0001499	KAF2209784	KAM3418233.1
OG0001508	KAF2209662	KAM3418362.1
OG0001526	KAF2211458	KAM3418981.1
OG0001527	KAF2211471	KAM3418992.1
OG0001529	KAF2211528	KAM3419049.1
OG0001532	KAF2211592	KAM3419124.1
OG0001542	KAF2207500	KAM3419239.1
OG0001544	KAF2207516	KAM3419260.1
OG0001549	KAF2207892	KAM3419452.1
OG0001552	KAF2207923	KAM3419488.1
OG0001562	KAF2208842	KAM3419325.1
OG0001594	KAF2212504	KAM3415652.1
OG0001599	KAF2210892	KAM3415559.1
OG0001602	KAF2210843	KAM3415512.1
OG0001622	KAF2212378	KAM3415794.1
OG0001640	KAF2208699	KAM3417472.1
OG0001641	KAF2214335	KAM3422026.1
OG0001669	KAF2210702	KAM3421705.1
OG0001676	KAF2209528	KAM3421244.1
OG0001679	KAF2209492	KAM3421110.1
OG0001680	KAF2211027	KAM3421819.1
OG0001681	KAF2211008	KAM3421798.1
OG0001684	KAF2210598	KAM3421595.1
OG0001685	KAF2210611	KAM3421610.1
OG0001686	KAF2210613	KAM3421612.1
OG0001690	KAF2210645	KAM3421652.1
OG0001694	KAF2208188	KAM3421355.1
OG0001716	KAF2208115	KAM3413523.1
OG0001717	KAF2216152	KAM3422544.1
OG0001726	KAF2216165	KAM3422524.1
OG0001749	KAF2216384	KAM3422895.1
OG0001757	KAF2216869	KAM3424685.1
OG0001762	KAF2207199	KAM3418135.1
OG0001769	KAF2207006	KAM3423276.1
OG0001791	KAF2212720	KAM3414879.1
OG0001825	KAF2217612	KAM3420133.1
OG0001839	KAF2217980	KAM3419953.1
OG0001857	KAF2217754	KAM3419738.1
OG0001869	KAF2210449	KAM3420520.1
OG0001902	KAF2210341	KAM3420631.1
OG0001907	KAF2217247	KAM3424337.1
OG0001913	KAF2208923	KAM3424109.1
OG0001915	KAF2206527	KAM3424018.1
OG0001931	KAF2217022	KAM3424529.1
OG0001942	KAF2216925	KAM3424629.1
OG0001946	KAF2216859	KAM3424696.1
OG0001957	KAF2215643	KAM3425574.1
OG0001973	KAF2216096	KAM3424918.1
OG0001978	KAF2216075	KAM3424945.1
OG0001980	KAF2216020	KAM3425002.1
OG0001991	KAF2215855	KAM3425170.1
OG0002028	KAF2213949	KAM3416414.1
