orthogroup	cm_protein	cz_protein
OG0000580	KAF2207094	KAM3417108.1
OG0000709	KAF2215836	KAM3425187.1
OG0001175	KAF2213526	KAM3414028.1
OG0001221	KAF2214611	KAM3418880.1
OG0001379	KAF2208641	KAM3417424.1
OG0001391	KAF2215697	KAM3425628.1
OG0001393	KAF2215568	KAM3425500.1
OG0001413	KAF2215178	KAM3416697.1
OG0001601	KAF2207093	KAM3417107.1
OG0001629	KAF2214258	KAM3422198.1
OG0001643	KAF2214342	KAM3422031.1
OG0001790	KAF2213113	KAM3423403.1
OG0001799	KAF2212980	KAM3423340.1
OG0001980	KAF2216020	KAM3425002.1
OG0002164	KAF2212521	KAM3415019.2
OG0002278	KAF2209703	KAM3418319.1
OG0002356	KAF2214811	KAM3418657.1
OG0002365	KAF2214825	KAM3418644.1
OG0002450	KAF2214986	KAM3418491.1
OG0002457	KAF2214607	KAM3418883.1
OG0002703	KAF2208857	KAM3419314.1
OG0002720	KAF2208783	KAM3419390.1
OG0002819	KAF2209361	KAM3415357.1
OG0003158	KAF2214510	KAM3422373.1
OG0003249	KAF2214378	KAM3422070.1
OG0003280	KAF2209474	KAM3421128.1
OG0003305	KAF2209457	KAM3421146.1
OG0003312	KAF2211101	KAM3421884.1
OG0003723	KAF2206227	KAM3413473.1
OG0003759	KAF2209168	KAM3422599.1
OG0004039	KAF2207014	KAM3423286.1
OG0004157	KAF2207798	KAM3423665.1
OG0004408	KAF2218010	KAM3419988.1
OG0004452	KAF2218029	KAM3419699.1
OG0004628	KAF2217460	KAM3420198.1
OG0004672	KAF2210088	KAM3420772.1
OG0004686	KAF2209073	KAM3420924.1
OG0004782	KAF2208979	KAM3424045.1
OG0004805	KAF2208976	KAM3424048.1
OG0004810	KAF2215419	KAM3421233.1
OG0004965	KAF2217029	KAM3424519.1
OG0005237	KAF2216058	KAM3424962.1
OG0005245	KAF2216047	KAM3424972.1
OG0005317	KAF2215877	KAM3425160.1
OG0005349	KAF2215770	KAM3425252.1
OG0005569	KAF2215349	KAM3416875.1
OG0005833	KAF2210116	KAM3417086.1
OG0006142	KAF2208529	KAM3417277.1
OG0006401	KAF2211277	KAM3414421.1
OG0006420	KAF2206750	KAM3413821.1
OG0006454	KAF2206476	KAM3415172.1
