orthogroup,cm_protein,cz_protein
OG0000208,KAF2216363,KAM3422873.1
OG0000213,KAF2215525,KAM3424182.1
OG0000287,KAF2206464,KAM3417460.1
OG0000408,KAF2217035,KAM3424512.1
OG0000488,KAF2210578,KAM3421570.1
OG0000490,KAF2216820,KAM3424736.1
OG0000523,KAF2206333,KAM3418194.1
OG0000552,KAF2215306,KAM3416832.1
OG0000553,KAF2216171,KAM3422519.1
OG0000555,KAF2215756,KAM3425268.1
OG0000558,KAF2215690,KAM3425622.1
OG0000563,KAF2207570,KAM3423966.1
OG0000569,KAF2216695,KAM3424875.1
OG0000577,KAF2215644,KAM3425575.1
OG0000580,KAF2207094,KAM3417108.1
OG0000582,KAF2206429,KAM3414595.1
OG0000591,KAF2212752,KAM3414842.1
OG0000603,KAF2209673,KAM3416959.1
OG0000659,KAF2211021,KAM3421811.1
OG0000677,KAF2213166,KAM3423533.1
OG0000684,KAF2207560,KAM3420073.1
OG0000709,KAF2215836,KAM3425187.1
OG0000713,KAF2213813,KAM3416564.1
OG0000730,KAF2208376,KAM3417918.1
OG0000737,KAF2214997,KAM3418478.1
OG0000741,KAF2207897,KAM3419457.1
OG0000748,KAF2210904,KAM3415571.1
OG0000757,KAF2211356,KAM3414324.1
OG0000761,KAF2214368,KAM3422058.1
OG0000766,KAF2211099,KAM3421881.1
OG0000790,KAF2208160,KAM3421384.1
OG0000808,KAF2210411,KAM3420564.1
OG0000815,KAF2207839,KAM3423708.1
OG0000816,KAF2207838,KAM3423707.1
OG0000818,KAF2215486,KAM3416947.1
OG0000819,KAF2217582,KAM3420170.1
OG0000820,KAF2217610,KAM3420137.1
OG0000840,KAF2216033,KAM3424989.1
OG0000842,KAF2207191,KAM3418121.1
OG0000852,KAF2216803,KAM3424755.1
OG0000853,KAF2216797,KAM3424760.1
OG0000854,KAF2216770,KAM3424791.1
OG0000857,KAF2206821,KAM3417193.1
OG0000877,KAF2206837,KAM3417180.1
OG0000890,KAF2209523,KAM3421239.1
OG0000891,KAF2214631,KAM3418859.1
OG0000901,KAF2211033,KAM3421824.1
OG0000905,KAF2214609,KAM3418881.1
OG0000909,KAF2211491,KAM3419014.1
OG0000913,KAF2211717,KAM3421785.1
OG0000917,KAF2209290,KAM3415289.1
OG0000920,KAF2210812,KAM3415481.1
OG0000924,KAF2210394,KAM3420578.1
OG0000925,KAF2212312,KAM3415860.1
OG0000926,KAF2212335,KAM3415839.1
OG0000937,KAF2214354,KAM3422043.1
OG0000948,KAF2210246,KAM3421498.1
OG0000949,KAF2209541,KAM3421259.1
OG0000952,KAF2209491,KAM3421111.1
OG0000958,KAF2211712,KAM3425347.1
OG0000962,KAF2207319,KAM3425693.1
OG0000965,KAF2216492,KAM3422914.1
OG0000967,KAF2216232,KAM3422732.1
OG0000973,KAF2216609,KAM3423155.1
OG0000977,KAF2207825,KAM3423695.1
OG0000978,KAF2208333,KAM3417869.1
OG0000984,KAF2217421,KAM3420342.1
OG0000986,KAF2217415,KAM3420347.1
OG0000989,KAF2208957,KAM3424064.1
OG0000993,KAF2209101,KAM3420951.1
OG0001008,KAF2211647,KAM3425653.1
OG0001013,KAF2215332,KAM3416857.1
OG0001030,KAF2213494,KAM3414059.1
OG0001035,KAF2211274,KAM3414426.1
OG0001045,KAF2214719,KAM3418755.1
OG0001046,KAF2217682,KAM3420077.1
OG0001049,KAF2209680,KAM3418346.1
OG0001051,KAF2209769,KAM3418247.1
OG0001052,KAF2217275,KAM3424366.1
OG0001054,KAF2215007,KAM3418463.1
OG0001058,KAF2211477,KAM3418998.1
OG0001059,KAF2207446,KAM3419179.1
OG0001063,KAF2215271,KAM3416798.1
OG0001065,KAF2209382,KAM3415381.1
OG0001067,KAF2212443,KAM3415714.1
OG0001071,KAF2210849,KAM3415516.1
OG0001074,KAF2212320,KAM3415853.1
OG0001075,KAF2212395,KAM3415768.1
OG0001080,KAF2208231,KAM3421236.1
OG0001081,KAF2211193,KAM3422172.1
OG0001082,KAF2211174,KAM3421958.1
OG0001084,KAF2214218,KAM3422121.1
OG0001090,KAF2209503,KAM3421101.1
OG0001092,KAF2210987,KAM3421777.1
OG0001095,KAF2209594,KAM3423098.1
OG0001099,KAF2208076,KAM3413554.1
OG0001100,KAF2215300,KAM3416826.1
OG0001107,KAF2216481,KAM3422925.1
OG0001109,KAF2206974,KAM3423232.1
OG0001123,KAF2213086,KAM3423433.1
OG0001124,KAF2207259,KAM3425761.1
OG0001126,KAF2207661,KAM3419534.1
OG0001131,KAF2217802,KAM3419774.1
OG0001132,KAF2217772,KAM3419751.1
OG0001133,KAF2217520,KAM3420263.1
OG0001135,KAF2210513,KAM3420441.1
OG0001136,KAF2215545,KAM3417023.1
OG0001140,KAF2215927,KAM3425089.1
OG0001141,KAF2210473,KAM3420493.1
OG0001142,KAF2210475,KAM3420490.1
OG0001143,KAF2217010,KAM3424545.1
OG0001145,KAF2216772,KAM3424789.1
OG0001147,KAF2216682,KAM3424887.1
OG0001148,KAF2216101,KAM3424914.1
OG0001153,KAF2215902,KAM3425121.1
OG0001157,KAF2213647,KAM3413940.1
OG0001167,KAF2213455,KAM3413783.1
OG0001169,KAF2212048,KAM3417649.1
OG0001170,KAF2206822,KAM3417192.1
OG0001171,KAF2213491,KAM3413951.1
OG0001175,KAF2213526,KAM3414028.1
OG0001177,KAF2213768,KAM3414167.1
OG0001180,KAF2213542,KAM3414015.1
OG0001181,KAF2213562,KAM3413995.1
OG0001184,KAF2213595,KAM3413885.1
OG0001185,KAF2213593,KAM3413883.1
OG0001186,KAF2211355,KAM3414325.1
OG0001198,KAF2216018,KAM3425003.1
OG0001200,KAF2213610,KAM3413902.1
OG0001201,KAF2214652,KAM3418835.1
OG0001203,KAF2214692,KAM3418787.1
OG0001205,KAF2214954,KAM3418521.1
OG0001206,KAF2215238,KAM3416761.1
OG0001210,KAF2209707,KAM3418317.1
OG0001213,KAF2209780,KAM3418235.1
OG0001215,KAF2214747,KAM3418729.1
OG0001219,KAF2215036,KAM3418433.1
OG0001221,KAF2214611,KAM3418880.1
OG0001223,KAF2214570,KAM3418925.1
OG0001226,KAF2207458,KAM3419200.1
OG0001227,KAF2207852,KAM3419409.1
OG0001229,KAF2207898,KAM3419458.1
OG0001230,KAF2207908,KAM3419470.1
OG0001231,KAF2210313,KAM3419785.1
OG0001235,KAF2209326,KAM3415324.1
OG0001236,KAF2209347,KAM3415344.1
OG0001237,KAF2209359,KAM3415355.1
OG0001243,KAF2212479,KAM3415677.1
OG0001244,KAF2214018,KAM3416331.1
OG0001245,KAF2210864,KAM3415531.1
OG0001246,KAF2210818,KAM3415487.1
OG0001247,KAF2212223,KAM3415963.1
OG0001250,KAF2208648,KAM3417432.1
OG0001254,KAF2214483,KAM3422408.1
OG0001255,KAF2215806,KAM3425218.1
OG0001256,KAF2215827,KAM3425197.1
OG0001258,KAF2206417,KAM3414306.1
OG0001262,KAF2214415,KAM3422220.1
OG0001268,KAF2214516,KAM3422365.1
OG0001273,KAF2211120,KAM3421905.1
OG0001274,KAF2211179,KAM3421962.1
OG0001275,KAF2206680,KAM3422163.1
OG0001276,KAF2214220,KAM3422119.1
OG0001277,KAF2214183,KAM3422159.1
OG0001279,KAF2210255,KAM3421509.1
OG0001281,KAF2208128,KAM3421416.1
OG0001284,KAF2210720,KAM3421727.1
OG0001285,KAF2210729,KAM3421735.1
OG0001289,KAF2209580,KAM3421092.1
OG0001291,KAF2211063,KAM3421852.1
OG0001292,KAF2210992,KAM3421783.1
OG0001294,KAF2210638,KAM3421646.1
OG0001300,KAF2209619,KAM3420985.1
OG0001301,KAF2209620,KAM3420986.1
OG0001302,KAF2213462,KAM3413789.1
OG0001308,KAF2209214,KAM3422645.1
OG0001311,KAF2216469,KAM3422937.1
OG0001313,KAF2216493,KAM3422913.1
OG0001315,KAF2206975,KAM3423233.1
OG0001317,KAF2216302,KAM3422810.1
OG0001319,KAF2206879,KAM3416149.1
OG0001320,KAF2216650,KAM3423196.1
OG0001321,KAF2216567,KAM3423106.1
OG0001322,KAF2216592,KAM3423129.1
OG0001323,KAF2213075,KAM3423445.1
